序号,汉字,拆解,细节说明,初检,拆几个
0604,形,开，彡,,ok,2
0605,进,井，辶,,ok,2
0606,戒,戈，廾,,ok,2
0607,吞,天，口,,ok,2
0608,远,元，辶,,ok,2
0609,违,韦，辶,,ok,2
0610,韧,韦，刃,,ok,2
0611,运,云，辶,,ok,2
0612,扶,扌，夫,,ok,2
0613,抚,扌，无,,ok,2
0614,坛,土，云,,ok,2
0615,技,扌，支,,ok,2
0616,坏,土，不,,ok,2
0617,抠,扌，区,,ok,2
0618,扰,扌，尤,,ok,2
0619,扼,扌，厄,,ok,2
0620,拒,扌，巨,,ok,2
0621,找,扌，戈,,ok,2
0622,批,扌，比,,ok,2
0623,址,土，止,,ok,2
0624,扯,扌，止,,ok,2
0625,走,走,,ok,1
0626,抄,扌，少,,ok,2
0627,贡,工，贝,,ok,2
0628,汞,工，水,,ok,2
0629,坝,土，贝,,ok,2
0630,攻,土，攵,,ok,2
0631,赤,赤,,ok,1
0632,折,扌，斤,,ok,2
0633,抓,扌，爪,,ok,2
0634,扳,扌，反,,ok,2
0635,抡,扌，仑,,ok,2
0636,扮,扌，分,,ok,2
0637,抢,扌，仓,,ok,2
0638,孝,耂，子,,ok,2
0639,坎,土，欠,,ok,2
0640,均,土，匀,,ok,2
0641,抑,扌，卬,,ok,2
0642,抛,扌，九，力,,ok,3
0643,投,扌，殳,,ok,2
0644,坟,土，文,,ok,2
0645,坑,土，亢,,ok,2
0646,抗,扌，亢,,ok,2
0647,坊,土，方,,ok,2
0648,抖,扌，斗,,ok,2
0649,护,扌，户,,ok,2
0650,壳,士，冖，几,,ok,3
0651,志,士，心,,ok,2
0652,块,土，夬,,ok,2
0653,扭,扌，丑,,ok,2
0654,声,声,,ok,1
0655,把,扌，巴,,ok,2
0656,报,扌，𠬝,,ok,2
0657,拟,扌，以,,ok,2
0658,却,去，卩,,ok,2
0659,抒,扌，予,,ok,2
0660,劫,去，力,,ok,2
0661,芙,艹，夫,,ok,2
0662,芜,艹，无,,ok,2
0663,苇,艹，韦,,ok,2
0664,芽,艹，牙,,ok,2
0665,花,艹，化,,ok,2
0666,芹,艹，斤,,ok,2
0667,芥,艹，介,,ok,2
0668,芬,艹，分,,ok,2
0669,苍,艹，仓,,ok,2
0670,芳,艹，方,,ok,2
0671,严,严,,ok,1
0672,芦,艹，户,,ok,2
0673,芯,艹，心,,ok,2
0674,劳（勞）,𤇾，力,,古,2
0675,克,十，兄,,ok,2
0676,芭,艹，巴,,ok,2
0677,苏,艹，办,,ok,2
0678,杆,木，干,,ok,2
0679,杠,木，工,,ok,2
0680,杜,木，土,,ok,2
0681,材,木，才,,ok,2
0682,村,木，寸,,ok,2
0683,杖,木，丈,,ok,2
0684,杏,木，口,,ok,2
0685,杉,木，彡,,ok,2
0686,巫,工，人，人,,ok,3
0687,极,木，及,,ok,2
0688,李,木，子,,ok,2
0689,杨（楊）,木，昜,,古,2
0690,求,求,,ok,1
0691,甫,甫,,ok,1
0692,匣,匚，甲,,ok,2
0693,更,更,,ok,1
0694,束,束,,ok,1
0695,吾,五，口,,ok,2
0696,豆,豆,,ok,1
0697,两,两,,ok,1
0698,酉,酉,,ok,1
0699,丽,丽,,ok,1
0700,医,匚，矢,,ok,2
0701,辰,辰,,ok,1
0702,励,厉，力,,ok,2
0703,否,不，口,,ok,2
0704,还,不，辶,,ok,2
0705,尬,尢，介,,ok,2
0706,歼,歹，千,,ok,2
0707,来,来,,ok,1
0708,连,车，辶,,ok,2
0709,轩,车，干,,ok,2
0710,步,步,,ok,1
0711,卤,卤,,ok,1
0712,坚（堅）,臤，土,,古,2
0713,肖,小b，月,,变,2
0714,旱,日，干,,ok,2
0715,盯,目，丁,,ok,2
0716,呈,口，王,,ok,2
0717,时,日，寸,,ok,2
0718,吴,口，天,,ok,2
0719,助,且，力,,ok,2
0720,县,县,,ok,1
0721,里,田，土,,ok,2
0722,呆,口，木,,ok,2
0723,吱,口，支,,ok,2
0724,吠,口，犬,,ok,2
0725,呕,口，区,,ok,2
0726,园,囗，元,,ok,2
0727,旷,日，广,,ok,2
0728,围,囗，韦,,ok,2
0729,呀,口，牙,,ok,2
0730,吨,口，屯,,ok,2
0731,足,足,,ok,1
0732,邮,由，阝,,ok,2
0733,男,田，力,,ok,2
0734,困,囗，木,,ok,2
0735,吵,口，少,,ok,2
0736,串,串,,ok,1
0737,员,口，贝,,ok,2
0738,呐,口，内,,ok,2
0739,听,口，斤,,ok,2
0740,吟,口，今,,ok,2
0741,吩,口，分,,ok,2
0742,呛,口，仓,,ok,2
0743,吻,口，勿,,ok,2
0744,吹,口，欠,,ok,2
0745,呜,口，乌,,ok,2
0746,吭,口，亢,,ok,2
0747,吧,口，巴,,ok,2
0748,邑,口，巴,,ok,2
0749,吼,口，孔,,ok,2
0750,囤,囗，屯,,ok,2
0751,别,另，刂,,ok,2
0752,吮,口，允,,ok,2
0753,岖,山，区,,ok,2
0754,岗,山，冈,,ok,2
0755,帐,巾，长,,ok,2
0756,财,贝，才,,ok,2
0757,针,钅，十,,ok,2
0758,钉,钅，丁,,ok,2
0759,牡,牜，土,,ok,2
0760,告,告,,ok,1
0761,我,我,,ok,1
0762,乱,舌，乚,,ok,2
0763,利,禾，刂,,ok,2
0764,秃,禾，几,,ok,2
0765,秀,禾，乃,,ok,2
0766,私,禾，厶,,ok,2
0767,每,𠂉，母,,ok,2
0768,兵,斤，廾b,,变,2
0769,估,亻，古,,ok,2
0770,体,亻，本,,ok,2
0771,何,亻，可,,ok,2
0772,佐,亻，左,,ok,2
0773,佑,亻，右,,ok,2
0774,但,亻，旦,,ok,2
0775,伸,亻，申,,ok,2
0776,佃,亻，田,,ok,2
0777,作,亻，乍,,ok,2
0778,伯,亻，白,,ok,2
0779,伶,亻，令,,ok,2
0780,佣,亻，用,,ok,2
0781,低,亻，氐,,ok,2
0782,你,亻，尔,,ok,2
0783,住,亻，主,,ok,2
0784,位,亻，立,,ok,2
0785,伴,亻，半,,ok,2
0786,身,身,,ok,1
0787,皂,白，七,,ok,2
0788,伺,亻，司,,ok,2
0789,佛,亻，弗,,ok,2
0790,囱,囱,,ok,1
0791,近,斤，辶,,ok,2
0792,彻,彳，切,,ok,2
0793,役,彳，殳,,ok,2
0794,返,反，辶,,ok,2
0795,余,余,,ok,1
0796,希,㐅，布,,ok,2
0797,坐,人，人，土,,ok,3
0798,谷,谷,,ok,1
0799,妥,爫，女,,ok,2
0800,含,今，口,,ok,2
0801,邻,令，阝,,ok,2
0802,岔,分，山,,ok,2
0803,肝,月，干,,ok,2
0804,肛,月，工,,ok,2
0805,肚,月，土,,ok,2
0806,肘,月，寸,,ok,2
0807,肠（腸）,月，昜,,古,2
0808,龟,龟,,ok,1
0809,甸,勹，田,,ok,2
0810,免,免,,ok,1
0811,狂,犭，王,,ok,2
0812,犹,犭，尤,,ok,2
0813,狈,犭，贝,,ok,2
0814,角,角,,ok,1
0815,删,册，刂,,ok,2
0816,条,夂，朩,,ok,2
0817,彤,丹，彡,,ok,2
0818,卵,卵,,ok,1
0819,灸,久，火,,ok,2
0820,岛,鸟s，山,,省,2
0821,刨,包，刂,,ok,2
0822,迎,卬，辶,,ok,2
0823,饭,饣，反,,ok,2
0824,饮,饣，欠,,ok,2
0825,系,丿b，糸,,变,2
0826,言,言,,ok,1
0827,冻,冫，东,,ok,2
0828,状,丬，犬,,ok,2
0829,亩,亠，田,,ok,2
0830,况,冫，兄,,ok,2
0831,床,广，木,,ok,2
0832,库,广，车,,ok,2
0833,庇,广，比,,ok,2
0834,疗,疒，了,,ok,2
0835,吝,文，口,,ok,2
0836,应,应,,ok,1
0837,这,文，辶,,ok,2
0838,冷,冫，令,,ok,2
0839,庐,广，户,,ok,2
0840,序,广，予,,ok,2
0841,辛,辛,,ok,1
0842,弃,𠫓，廾,,ok,2
0843,冶,冫，台,,ok,2
0844,忘,亡，心,,ok,2
0845,闰,门，王,,ok,2
0846,闲,门，木,,ok,2
0847,间,门，日,,ok,2
0848,闷,门，心,,ok,2
0849,判,半，刂,,ok,2
0850,兑,兑,,ok,1
0851,灶,火，土,,ok,2
0852,灿,火，山,,ok,2
0853,灼,火，勺,,ok,2
0854,弟,弟,,ok,1
0855,汪,氵，王,,ok,2
0856,沐,氵，木,,ok,2
0857,沛,氵，巿,,ok,2
0858,汰,氵，太,,ok,2
0859,沥,氵，历,,ok,2
0860,沙,氵，少,,ok,2
0861,汽,氵，气,,ok,2
0862,沃,氵，夭,,ok,2
0863,沦,氵，仑,,ok,2
0864,汹,氵，凶,,ok,2
0865,泛,氵，乏,,ok,2
0866,沧,氵，仓,,ok,2
0867,没,氵，殳,,ok,2
0868,沟,氵，勾,,ok,2
0869,沪,氵，户,,ok,2
0870,沈,氵，冘,,ok,2
0871,沉,氵，冗,,ok,2
0872,沁,氵，心,,ok,2
0873,怀,忄，不,,ok,2
0874,忧,忄，尤,,ok,2
0875,忱,忄，冘,,ok,2
0876,快,忄，夬,,ok,2
0877,完,宀，元,,ok,2
0878,宋,宀，木,,ok,2
0879,宏,宀，厷,,ok,2
0880,牢,宀，牛,,ok,2
0881,究,穴，九,,ok,2
0882,穷,穴，力,,ok,2
